ID,TIPO,LINHA,MENSAGEM,HORA,FLAG_PROCES
573373,31,650,Linha passando por região com obras,2024-10-17 10:05:38,0
573373,31,685,Linha passando por região com obras,2024-10-17 10:05:38,0
573374,31,624,Linha passando por região com obras,2024-10-17 10:05:38,0
573374,31,665,Linha passando por região com obras,2024-10-17 10:05:38,0
573396,46,203,Possível atraso,2024-10-17 10:18:33,0
573397,20,222,Possível atraso,2024-10-17 10:18:33,0
573455,20,250,Possível atraso,2024-10-17 21:17:10,0
573457,20,924,Possível atraso,2024-10-17 21:17:10,0
573459,20,508,Possível atraso,2024-10-17 21:17:10,0
573464,20,611,Possível atraso,2024-10-17 21:17:10,0
573463,20,307,Possível atraso,2024-10-17 21:17:10,0
573467,20,627,Possível atraso,2024-10-17 21:43:47,0
573468,40,701,Possível atraso,2024-10-17 21:57:59,0
573635,20,924,Possível atraso,2024-10-19 23:23:07,0
573636,47,372,Possível atraso,2024-10-19 23:23:07,0
573637,20,812,Possível atraso,2024-10-19 23:23:07,0
573639,20,266,Possível atraso,2024-10-19 23:23:07,0
573642,20,821,Possível atraso,2024-10-19 23:23:07,0
573643,20,817,Possível atraso,2024-10-19 23:23:07,0
573641,19,203,Possível atraso,2024-10-19 23:23:07,0
573647,20,303,Possível atraso,2024-10-19 23:23:07,0
